직업코드	직업명	등급	직업기술서	예시
27441	농수산물 중개인 및 경매사	B	공급자가 출하한 농수산물에 대해 경매 우선 순위의 결정, 가격평가, 경락자의 결정 등을 수행하여 공급자와 구매자를 연결해 주는자를 말한다. 	가축경매사, 가축경매인, 구매대리인,농산물, 구매대리인,수산물, 농산물경매사, 농산물경매인, 농산물구매대리인, 농산물위탁중개인, 농수산물경매사, 농수산물경매인, 농수산물중개인, 바이어,농산물, 수산물경매사, 수산물경매인, 수산물구매대리인, 수산물위탁중개인, 수산물중계인, 수입판매대리인,농산물, 육류위탁중개인, 청과물경매사, 청과물경매인, 청과물구매대리인, 청과물위탁중개인, 축산물구매인, 화훼경매사, 화훼경매인
27442	예술품 중개인 및 경매사	A	골동품, 예술품 등의 상태를 검사하고, 그 가치를 평가하여 최저경매가격을 산정하여, 구매자들에게 골동품, 예술품 등을 중개하거나 경매하는 자를 말한다.	골동품경매사, 골동품경매인, 골동품딜러, 미술품경매사, 미술품경매인, 영화배급원, 예술골동품경매사, 예술품경매사, 예술품경매인, 예술품딜러, 예술품중개인, 예술품중계인, 옥셔니스트
27449	그 외 상품중개인 및 경매사	B	도·소매업체 내에서 재판매할 상품을 구매하는 자로 사업상의 소요량 검토와 각 기업체에서 발행되는 정기간행물등에서 상품의 종류,품질,가격에 관한 시장정보 분석하는 자를 말한다	미술품스페셜리스트, 부동산경매사, 부동산경매인, 상품중개인, 중개및경매인,도메인관리, 채권경매사, 채권경매인, 탄소거래중개인, 회원권딜러, 회원권중개업무종사자
27451	부동산 컨설턴트 및 중개사	B	부동산 컨설턴트는 소유자의 편익이나 관리의 효율화를 위해 부동산을 관리·처분하거나 유용한 시설로 개발하는 업무를 대행하며, 부동산에 관련된 정보를 수집·분석하여 제공하며 부동산 세무나 관련 법규, 인·허가, 경매 등에 관하여 자문하는자를 말하며 부동산 중개인은 부동산매매 쌍방을 대리하여 수수료를 받고 건물, 대지, 가옥, 아파트 등 부동산의 매매 및 임대.교환을 알선.중개하는 자로서 지가시세와 부동산에 관한 정보를 수집하여 고객에게 제공하며 매매가격을 조정하고 계약을 주선하는 자를 말한다	부동산경매상담원, 부동산상담원, 부동산신탁관리원, 부동산신탁및컨설팅원, 부동산처분신탁관리원, 부동산컨설턴트, 부동산컨설팅원, 용지조사원,부동산신탁, 주택상담원, 공인중개사, 공인중개인, 부동산중개사, 부동산중개인, 부동산판매인
27452	개인임대사업자	B	공공주택특별법 제4조 제1항에 따른 공공주택사업자가 아닌 자로서 1호 이상의 민간임대주택을 취득하여 임대하는 사업을 할 목적으로 민간임대주택에 관한 특별법 제5조에 따라 등록한 자를 말한다.	주택 임대사업자, 상가 임대사업자, 공유 오피스 임대사업자, 단기 임대사업자, 농지 임대사업자, 주차장 임대사업자, 개인 숙소 임대사업자( 농촌 체험 등)
28111	작가 및 평론가	A	방송작가는 드라마, 영화, 연극, 코미디, 라디오 프로그램, 다큐멘터리 등을 제작하기 위해 필요한 원고, 시나리오, 대본 등을 작성하는 자를 말한다. 스크립터는 영화나 드라마에서 과정의 전과정을 기록하는 자를 말한다. 광고문 작성가는 광고문안을 작성하기 위해 광고 제작진과 협의하거나 아니면 독자적으로 광고 전략과 아이디어를 구상하며 광고물의 의도를 소비자에게 가장 잘 인식시킬 수 있는 문구절 표현을 창작해내는 자를 말한다. 문학작가의 경우 소설, 시, 동화, 수필등의 문학작품을 구상하거나 창작하는 자를 말한다.	각색작가, 교양프로그램작가, 구성작가, 극작가, 다큐맨터리구성작가, 다큐멘터리작가, 대본작가, 드라마작가, 만화영화대본작가, 방송대본작가, 방송작가, 방송콘티작가, 시나리오작가, 애니메이션각본작가, 애니메이션시나리오작가, 애니메이션작가, 어린이프로그램작가, 영화시나리오작가, 예능작가, 원안작가, 코미디작가, 시인, 소설가, 평론가, 수필가, 스크립터, 프리뷰어, 카피라이터
28120	번역 및 통역가	A	번역가는 한 나라의 언어를 다른나라의 언어로 옮겨 표현하는 전문적 작업을 수행하는 자를 말하며, 통역가는 사용하는 언어가 서로 다른 사람들 사이에서 순조로운 의사소통이 가능하도록 대화내용을 상대방의 언어로 전환·표현하여 전달해 주는 자를 말한다.	문학번역가, 번역가, 번역사, 산업번역가, 영상번역가, 영화번역가, 영화번역사, 외화번역가, 전문서류번역가, 초벌번역가, 학술번역가, 동시통역사, 수화자, 수화통역사, 영어통역사, 통역가, 통역도우미, 통역사, 통역사무원, 해외통역원
28141	신문 및 방송기자	A	신문, TV방송 혹은 라디오, 사보, 생활정보지, 무가지, 인터넷 신문등에 실을 정보를 수집하거나 사회, 경제, 정치 등에서 발생하는 사건 사고를 취재하거나 정치인 및 기타 공적 인물과 인터뷰를 하여 기사를 작성하거나 편집하는 자를 말한다. 보도할 기사를 선택하고 검토하는 일도 포함한다 단, 종군기자는 제외한다.	기자, 사진기자제외, 데스크기자, 르포기자, 매스미디어저널리스트, 매스콤통신기자, 매체회견기자, 방송국기자, 방송기자, 방송편집기자, 방송편집장, 보도기자, 사보기자, 사보편집장, 생활정보지기자, 스포츠신문편집자, 신문기자, 신문취재기자, 신문편집기자, 신문편집자, 신문편집장, 언론인,기자, 월간지기자, 인터넷기자, 잡지기자, 잡지취재기자, 전문기자, 주재기자, 중앙뉴스편집자, 지방뉴스편집자, 취재기자, 특파원, 패션에디터, 패션잡지기자, 편집기자
28144	종군기자	E	군대를 따라 전쟁터에 나가 전투 상황을 보도하는 기자를 말한다.	칼럼 칼럼니스트
28142	논설위원	A	여러 매체의 정치, 경제, 사회 등 여러 분야의 현상들을 논리적으로 분석·해석하고 논평하는 자를 말한다.	종군기자
